combo_idx,band_indices_1based,band_names,macro_f1,recall_cls_1,recall_cls_2,recall_cls_3,recall_cls_4,n_samples
1724,"2,9,11,13,17","building_density,ndvi,proximity_resto,proximity_thirdspace,ntl",0.724207656,0.666666667,0.692307692,0.7,0.846153846,159
1722,"2,9,11,13,15","building_density,ndvi,proximity_resto,proximity_thirdspace,dem",0.72029304,0.666666667,0.692307692,0.6,0.923076923,159
1745,"2,9,13,15,17","building_density,ndvi,proximity_thirdspace,dem,ntl",0.704347826,0.666666667,0.692307692,0.6,0.846153846,159
1738,"2,9,12,15,16","building_density,ndvi,proximity_road,dem,land_cover",0.694166667,0.75,0.692307692,0.4,0.923076923,159
1041,"2,4,9,13,15","building_density,glcm_entropy,ndvi,proximity_thirdspace,dem",0.688484848,0.666666667,0.615384615,0.6,0.846153846,159
1542,"2,7,9,12,15","building_density,mndwi,ndvi,proximity_road,dem",0.688007246,0.666666667,0.538461538,0.7,0.846153846,159
1546,"2,7,9,13,15","building_density,mndwi,ndvi,proximity_thirdspace,dem",0.68474359,0.75,0.538461538,0.6,0.846153846,159
1553,"2,7,9,15,17","building_density,mndwi,ndvi,dem,ntl",0.684673913,0.666666667,0.538461538,0.7,0.846153846,159
1744,"2,9,13,15,16","building_density,ndvi,proximity_thirdspace,dem,land_cover",0.682608696,0.666666667,0.692307692,0.5,0.846153846,159
1718,"2,9,11,12,15","building_density,ndvi,proximity_resto,proximity_road,dem",0.679632867,0.5,0.692307692,0.6,0.923076923,159
1732,"2,9,12,13,15","building_density,ndvi,proximity_road,proximity_thirdspace,dem",0.679469697,0.583333333,0.692307692,0.5,0.923076923,159
260,"1,2,6,9,15","bu,building_density,lst,ndvi,dem",0.676406717,0.833333333,0.384615385,0.7,0.846153846,159
1340,"2,6,7,9,15","building_density,lst,mndwi,ndvi,dem",0.673863636,0.916666667,0.384615385,0.6,0.846153846,159
751,"2,3,9,12,15","building_density,glcm_contrast,ndvi,proximity_road,dem",0.673846154,0.666666667,0.692307692,0.4,0.923076923,159
1257,"2,5,9,12,15","building_density,glcm_homogeneity,ndvi,proximity_road,dem",0.673846154,0.666666667,0.692307692,0.4,0.923076923,159
387,"1,2,9,12,15","bu,building_density,ndvi,proximity_road,dem",0.673331737,0.833333333,0.692307692,0.3,0.923076923,159
955,"2,4,7,9,15","building_density,glcm_entropy,mndwi,ndvi,dem",0.667631282,0.75,0.538461538,0.6,0.769230769,159
327,"1,2,7,13,15","bu,building_density,mndwi,proximity_thirdspace,dem",0.667424242,0.75,0.538461538,0.6,0.769230769,159
1729,"2,9,11,15,17","building_density,ndvi,proximity_resto,dem,ntl",0.666666667,0.583333333,0.615384615,0.7,0.769230769,159
755,"2,3,9,13,15","building_density,glcm_contrast,ndvi,proximity_thirdspace,dem",0.664746377,0.666666667,0.615384615,0.5,0.846153846,159
1261,"2,5,9,13,15","building_density,glcm_homogeneity,ndvi,proximity_thirdspace,dem",0.664746377,0.666666667,0.615384615,0.5,0.846153846,159
501,"2,3,4,9,13","building_density,glcm_contrast,glcm_entropy,ndvi,proximity_thirdspace",0.664601449,0.583333333,0.692307692,0.6,0.769230769,159
567,"2,3,5,9,13","building_density,glcm_contrast,glcm_homogeneity,ndvi,proximity_thirdspace",0.664601449,0.583333333,0.692307692,0.6,0.769230769,159
756,"2,3,9,13,16","building_density,glcm_contrast,ndvi,proximity_thirdspace,land_cover",0.664601449,0.583333333,0.692307692,0.6,0.769230769,159
1042,"2,4,9,13,16","building_density,glcm_entropy,ndvi,proximity_thirdspace,land_cover",0.664601449,0.583333333,0.692307692,0.6,0.769230769,159
667,"2,3,7,9,13","building_density,glcm_contrast,mndwi,ndvi,proximity_thirdspace",0.664525692,0.75,0.538461538,0.6,0.769230769,159
